name,target_score,selection_type,selection_note,score_layer,no_hs_admission
東大和南,700,std,,無指定・充足,0
保谷,700,std,,無指定・充足,0
小平,700,std,,無指定・充足,0
大崎,700,std,,無指定・充足,0
日野,700,std,,無指定・充足,0
文京,700,std,,無指定・充足,0
小平南,700,std,,無指定・充足,0
本所,700,std,,無指定・充足,0
武蔵丘,700,std,,無指定・充足,0
小岩,700,std,,無指定・充足,0
東,700,std,,無指定・充足,0
井草,700,std,,無指定・充足,0
深川,700,std,,無指定・充足,0
狛江,700,std,,無指定・充足,0
農業,700,std,,無指定・充足,0
雪谷,700,std,,無指定・充足,0
向丘,700,std,,無指定・充足,0
府中,700,std,,無指定・充足,0
調布南,700,std,,無指定・充足,0
田園調布,700,std,,無指定・充足,0
石神井,700,std,,無指定・充足,0
鷺宮,700,std,,無指定・充足,0
芦花,700,std,,無指定・充足,0
晴海総合,700,std,,無指定・充足,0
神代,700,std,,無指定・充足,0
目黒,700,std,,無指定・充足,0
広尾,700,std,,無指定・充足,0
豊島,700,std,,無指定・充足,0
