school_number,name,motto,spirit,source_url
402810,園芸,互いの人格を尊重し、思いやりをもって行動する態度を養う。 ／ 伝統・文化を尊重し、その継承と新しい文化の創造に貢献しうる能力や態度を養う。 ／ 生命を尊び、自然を大切にし、環境の保全に寄与する態度を養う。 ／ 基盤教育と専門教育の改善充実お,幅広い知識と教養、農業に関する専門技能、科学的態度を身につけ、自ら考え行動する態度を養う。 自立及び自律の精神を培うとともに、勤労を重んじ主体的に社会の発展に寄与する態度と健やかな身体を養う。,https://www.metro.ed.jp/engei-h/our_school/education.html
405230,淵江,知性の向上に努め、健全で情緒及び個性豊かな人間を育成する。 ／ 責任を持って意欲的に困難を克服しようとする人間を育成する。 ／ （２）学校の教育目標を達成するための基本方針 ／ 基本的生活習慣の確立を目指し、豊かな心、強い意志と健やかな身体,平成28年度から30年度にかけて、本校はアクティブ・ラーニング推進校として、生徒が主体的・対話的で深い学びを体験できる授業づくりを研究しました。その成果として、現在も指導方法の工夫が進んでおります。特にICT機器は多くの授業で活用されており、黒板だけでなく、スライドや電子ペンなどのデジタル機器を活用して授業を行っております。そのほか、課題提出や学習支援にオンライン学習システムを活用している授業もあります。,https://www.metro.ed.jp/fuchie-h/our_school/education.html
410210,府中,どこまでも同じ一つの目標を見据え、たゆまず努力を続けるという心構え。 ／ 府中高校の基本となる考え方です。 ／ 至誠の心にみちた生徒を育てる。 ／ 心身ともに健康的な生徒を育てる。,本校は歴史が古く昭和36年4月1日に創立した学校です。府中市の銘木100選の1つに選ばれた赤松をはじめとした、さまざまな木々が生い茂る自然豊かな環境です。林の中では野鳥が飛び交うなど、東京都の高校の中では際立って豊かな自然を残しています。,https://www.metro.ed.jp/fuchu-h/our_school/education.html
410220,府中東,自他を尊重する精神と、生命を大切にし、自然を愛する豊かな心を培う。 ／ スクール・ミッション ／ 「文武不岐」を目指し、自ら学び、自ら鍛え、たくましく生きる力、及び豊か ／ な人間性と発想力・創造力・実行力、社会の変化に左右されない人間力を,アクティブ・ラーニング型授業を推進し、生徒の主体的な学びをとおして大学入学共通テストにも対応できる学力の養成を図るとともに、漢字検定の全員受験や、英語検定に積極的にチャレンジさせるなど、基礎学力の徹底に取り組む。生徒の資質や能力に応じた多様な進路希望を実現できるよう教育課程を編成し実施する。,https://www.metro.ed.jp/fuchuhigashi-h/our_school/education.html
410710,府中工科,② 互いの人格と個性を尊重する豊かな人間性と規範意識を持った人間を育成する。 ／ ③ ものづくりを通して工科の技術・技能を身に付け、広く社会に貢献できる人間を育成する。 ／ スクールミッション ／ スクールポリシー,本校は、就職を中心とした生徒の進路実現を図るため、学習指導、生活指導、進路指導を一体的にとらえ、自信をもって社会に出て活躍できる人材を育成します。,https://www.metro.ed.jp/fuchukoka-h/our_school/education.html
410230,府中西,自他を敬愛し、向上し合う心と人権尊重の精神を育てる。 ／ 奉仕体験やボランティア活動を通して社会に貢献し、豊かな創造性と人間性を培う。 ／ 生活指導を通じて、思いやりの心と規範意識及び自律の精神を育成する。 ／ 学校行事・部活動及びホームル,本校の教育目標は『人間愛』『自由』『責任』とし、“自他ともに大切にすることができ、自己決定できる人間の育成”を掲げています。創立以来、脈々と続いている府中西魂です。これをもとに、本校では下記基本方針で指導を行っています。,https://www.metro.ed.jp/fuchunishi-h/our_school/education.html
403020,富士,「品性を養い、感性を磨く」 ／ 「自ら判断し挑戦する精神を高める」 ／ 育成する生徒像 ／ グランドデザイン,【自主自律】【文武両道】の精神の下、6年間一貫した探究活動を中心としたカリキュラムを通じて、富士山の裾野のような幅広い教養と高度な理数的解決力を身に付けさせることで課題解決力を育成し、この課題解決力を活用して、新しい価値観と既存の価値観を調和させ、社会の課題を解決するために自己の限界（高嶺）に挑戦できる人間「富士山型の人間」を育成する。,https://www.metro.ed.jp/fuji-s/our_school/education.html
407020,富士森,【 教育目標 】 --> ／ １. スクール・ミッション ／ ２. 教育目標 ／ （３）生徒一人一人の豊かな個性を伸ばし、生涯にわたって学び続ける意欲と態度を育成する。,（１）基本的な生活習慣の確立を図る。遅刻防止、頭髪・服装指導等を組織的に行い、授業規律や生活規律の確立を図る。また教室や階段の清掃の徹底等など、良好な学習環境・生活環境を確保する。,https://www.metro.ed.jp/fujimori-h/our_school/education.html
406210,深川,２．合理的であること ／ ３．積極的であること ／ ４．協調的であること ／ 教育課程（カリキュラム）の特徴,③理系の生徒は、２年生で化学を学び、３年生で理科の２つめの科目を学ぶことができます。 ①英語で話す力・書く力を伸ばすための科目があります。（1クラス20人の少人数授業）,https://www.metro.ed.jp/fukagawa-h/our_school/education.html
402270,深沢,スクール・ポリシー ／ グラデュエーション・ポリシー 【生徒育成方針】 ／ アドミッション・ポリシー 【生徒募集方針】 ／ ・本校の教育の特色を理解し、学習活動として取り組むことができる生徒,建学の精神である「清純・明朗・強健」の校訓の下、多様な人との対話や協働をしながら、自ら課題を発見し、問いを立て、創造的な解を模索する力を身に付け、時代の変化や持続可能な社会に対応し、学び続ける人材を育成します。,https://www.metro.ed.jp/fukasawa-h/our_school/education.html
408230,福生,日本国憲法と教育基本法の精神にのっとり、次の目標を掲げて教育を推進する。 ／ 清純な心身を育て、実践力を豊かにする。 ／ 友愛の精神を培い、個性を伸ばす。 ／ 誠実な態度を養い、知性を高める。,規律ある学校生活を基本として、人権尊重の精神、社会規範意識を培い、社会に貢献できる能力、態度を育成する。,https://www.metro.ed.jp/fussa-h/our_school/education.html
413010,八丈,八丈島で唯一の高等学校として、島民の多用なニーズに対応した教育環境を構築する。 ／ （2）学校の教育目標を達成するための基本方針 ／ 他者を尊重し、生命を大切にする教育実践に努める。 ／ 生徒一人一人の進路実現に努める。,地域との協働による高等学校教育改革推進事業研究指定校、島しょICT活用事業モデル校、学力向上研究校、オリンピックパラリンピック教育文化プログラム学校連携事業実施校、安全教育推進校、東京大学教養学部インターネット配信講座協定校として事業を行う。,https://www.metro.ed.jp/hachijo-h/our_school/education.html
407040,八王子東,公立高校の中でも高い進学率を誇る ／ 詳しくはこちら ／ 学校に軸足を置いたキャリア教育 ／ 詳しくはこちら,"国公立大学進学実績が高い進学指導重点校であり、都からGE-NET20指定校・海外学校間交流推進校・理数研究校などの指定を受けており、生徒の""高い志""を実現させる指導を行っています。",https://www.metro.ed.jp/hachiojihigashi-h/our_school/feature.html
407050,八王子北,八王子北高校の「３つのポリシー」 ／ 【アドミッション・ポリシー】 ／ （本校では、次の項目に当てはまる生徒の入学を期待しています） ／ ① 学習成績が良好で評定の高い教科をもち、進路実現に向けて努力できる生徒。,ハチ北の先生は，みんな熱心です。一人ひとりのことを考えながら、ハチ北生の指導にあたっています。学校では、いろいろな事件が起こりますが、チームワークで解決しながら、毎日を過ごしています。,https://www.metro.ed.jp/hachiojikita-h/our_school/education.html
407520,八王子拓真,グランドデザイン ／ グランドデザインPDF(144KB) ／ 令和7年度 教育課程PDF(2MB) ／ 年間授業計画,人間尊重の精神に基づいた豊かな心をもち、進んで社会の発展に貢献できる人間の育成を目指して、 次の教育目標により都民に信頼される教育を推進する。 社会的に自立できる力を身に付ける経験を通じて、将来への希望を持ち、さらなる成長への意欲を持って生きていく。,https://www.metro.ed.jp/hachiojitakushin-he/our_school/education.html
408050,拝島,進路指導重点主義 ／ すべての生徒の学力向上 ／ 先生からのメッセージ ／ 拝島高校では落ち着いた雰囲気で授業が行われています。,希望進路実現のために、学習指導、生活指導、進路指導等すべての教育活動において、生徒が将来社会で活躍できるよう、社会人基礎力を育むことを最も重視します。,https://www.metro.ed.jp/haijima-h/our_school/education.html
405040,白鴎,・いかなる苦難にも耐えて自己の人生を切り開いていく力 ／ ・社会の進展に寄与する旺盛な意欲 ／ を持つ、社会でリーダーとして活躍できる、チャレンジ精神溢れる生徒の育成を目指しています。 ／ グランドデザイン,本校は、明治21年に創立された都立白鷗高等学校を母体とする、都内初の公立中高一貫教育校です。本校の教育理念「開拓精神」のもと、 を持つ、社会でリーダーとして活躍できる、チャレンジ精神溢れる生徒の育成を目指しています。,https://www.metro.ed.jp/hakuo-h/our_school/education.html
408250,羽村,スクール・ミッション ／ 「自立」した社会の一員として、基礎基本の定着を図り、個人の成長を目指す。 ／ 地域の課題に関心をもち、地域社会で「貢献」する人材を育成する。 ／ 高い志と基礎を固め、自らの限界に挑み「飛躍」するためのチャレンジ精神,「自立」「貢献」「飛躍」を教育目標の中に位置付け、保護者及び地域社会と連携し、地域に根付き、地域から愛され信頼される学校づくりを推進します。自尊感情を高めながら、知、徳、体とバランスの取れた教育を目指すとともに、社会の一員として国際社会に活躍する人材を育成します。,https://www.metro.ed.jp/hamura-h/our_school/education.html
405410,晴海総合,本校の教育方針 ／ 「生徒の良さや可能性を伸ばす」 ／ すべての教育活動を通して、生徒の良さや可能性を発見し、それを育てていく。 ／ 「生徒の迷いや悩みに応える」,本校は、総合学科高等学校の教育の特色、東京都における総合学科高等学校の設置の背景や目的・趣旨をふまえて、「生徒一人ひとりの個性を大切にした教育」「生徒一人ひとりの違いを大切にした教育」の展開を求めた学校であり、以下に示した3点を教育活動の基本姿勢とする。,https://www.metro.ed.jp/harumisogo-h/our_school/education.html
401020,日比谷,自律的で個性豊かな、しかも調和のとれた人格を確立し、進んでものごとを実行していく態度を養う。 ／ ２ 学習と教養 ／ ３ 責任と協調 ／ 学校組織の一員として自己の責任を果たすとともに、互いの立場を考え、協力していく態度を養う。,自主的・自発的な学習活動と特別活動を通して知性と情操を磨き、将来社会の有為な形成者となるための豊かな教養を身につける。 清潔で健康な生活を心がけるとともに、進んで心身を鍛え、困難にあってもくじけない強い気力を養う。,https://www.metro.ed.jp/hibiya-h/our_school/education.html
406220,東,・高い目標にチャレンジする力を育成すること ／ ・思いやりの心と規範意識を身に付け、社会貢献の精神を涵養すること ／ ・豊かな人間性や個性と創造力を伸長すること ／ スクール・ミッション、スクール・ポリシー,・高い学力と幅広い教養を身に付け、健やかな身体を養うこと　・高い目標にチャレンジする力を育成すること　・思いやりの心と規範意識を身に付け、社会貢献の精神を涵養すること　・豊かな人間性や個性と創造力を伸長すること,https://www.metro.ed.jp/higashi-h/our_school/education.html
409410,東久留米総合,「学んで判断力を培え」 ／ 遍く友愛の心を拡げるために ／ 「学んで想像力を伸ばせ」 ／ 自身を豊かに意味づけるために,② 社会のルールやマナー及び本校の生活指導方針を理解し実践できる規範意識の高い生徒,https://www.metro.ed.jp/higashikurumesogo-h/our_school/education.html
409230,東村山,「愛と創造」 ／ (2)学校の教育目標を達成するための基本方針 ／ 体力を向上させ、不断に学力の研鑽に励む意志と自由の精神及び豊かな教養を身に付けさせる。 ／ キャリア教育を通して、努力して創造することの喜びを体験させ、勤労を尊ぶ精神を養う,⑤「生活指導の徹底」により、健全で安心して通える学校作り、防災意識の徹底を図る。,https://www.metro.ed.jp/higashimurayama-h/our_school/education.html
409280,東村山西,自らの将来を切り拓く ／ 行動に責任を持つ ／ 心豊かに、他者と協働する ／ ＜教育目標の考え方＞,そのため、基礎学力を養うことに力を入れた授業を基本としています。特に、一人ひとりの学習内容の習得状況に応じた細かい指導が必要となる数学においては習熟度別クラスによる授業を、実践的な内容を扱う国語や英語・家庭科においては少人数クラスによる授業を行っています。各学年の英語コミュニ ケーションでは、外国人講師とともに授業を行います。,https://www.metro.ed.jp/higashimurayamanishi-h/our_school/education.html
408060,東大和,～勉強・部活・行事～ ／ 授業を大切に、基礎学力を確かなものにする ／ スポーツを通して人間力を高める ／ 生徒の資質・能力の伸長を図る,1年生は全員が加入することになっています。男女ハンドボール部、陸上競技部、男女テニス部、サッカー部、硬式野球部、吹奏楽部、和太鼓部等27の部活動があり、どの部も活発に活動しています。令和５年度は、関東大会に男子ハンドボール部、陸上競技部（23年連続）が出場、吹奏楽部が東日本大会に出場し、輝かしい活躍をしています。,https://www.metro.ed.jp/higashiyamato-h/our_school/feature.html
408090,東大和南,先生からのメッセージ ／ 大きく成長するタイミングでもある高校時代を、ミナミで頑張ってみませんか？ ／ 本校のシンボルツリー、3本の楠はいつも皆さんを待ってます。 ／ グランドデザイン,校は「克己・友愛・創造」の教育目標のもと、「授業で勝負」「教養で勝負」「部活で勝負」をモットーに、日々の教育活動を行っています。真剣な姿勢で授業を受ける生徒、仲間との語らいの中で得られる多くの知識、目標に向かって真剣に取り組む部活動と、本校の生徒は、多くの可能性を秘めながら高校生活を送っています。,https://www.metro.ed.jp/higashiyamatominami-h/our_school/education.html
403250,光丘,学校のグランドデザイン ／ グランドデザイン(139KB) ／ 光丘スクール・ポリシー ／ スクール・ポリシー(73KB),光丘高校の教育目標は信愛・気魄・創造の三つです。この三つの言葉一つ一つに、学校生活三年間を通して、このような力を身に付けて欲しいという思いが込められています。信愛は人間尊重を心がけ、常に誠意をもって人に接し、人から信じられ愛される人間となること。気魄はなにごとにも責任をもってやりとげる気概と忍耐力を養うこと。創造は広い視野にたって、常に新しいものを創りだすように努力すること。光丘高校はこれらのことを意識して日々の指導に取り組んでいます。,https://www.metro.ed.jp/hikarigaoka-h/our_school/education.html
407080,日野,●自主・協調の精神を養う ／ ●知性を高め、体力の向上を図る ／ ●豊かな心を培う ／ 以上の点に留意して、豊かな個性とすぐれた人格、心身ともに健康な人間の育成を目指す教育を行う。,本校に興味を持っていただきありがとうございます。本校は自然に恵まれた環境のなか、運動系・文化系ともに部活動を楽しみつつ、自分の将来を見据えて３年間しっかり学習することで、生徒自身の進路実現を目指していく学校です。また「日野高DX」というテーマのもと、新校舎とともに迎え入れた最新機器を活用した探究的な学びを目指して取組を進めております。,https://www.metro.ed.jp/hino-h/our_school/education.html
407090,日野台,叡 知 情 操 健 康 ／ (2) 学校の教育目標を達成するための基本方針 ／ 深い知性と創造力を育成する。 ／ 自由の精神をもって思索し、知性を磨くと共に、探究的な活動に専念させる。,知力・徳力・体力のバランスの取れた教育の充実を図る。具体的には次の５つの資質・能力「①基礎・基本の定着②自律的な学び③探究する態度④文武両道⑤規範意識」を育成し「挑戦する心」と「実行する態度」を持つ生徒」に育てる。これによって、より高い進路目標の実現に向け、学習と学校行事・部活動を、高い次元で両立できる文武両道を目指す。学習においては、自分の目標とする難関大学等を目指す。,https://www.metro.ed.jp/hinodai-h/our_school/education.html
401010,一橋,《“自ら学ぶ”を支援する通信制高校》 ／ 多様な背景や環境にある生徒の課題を分析し、個別の生徒指導や学習支援を工夫して展開している。 ／ 単位修得までの流れ ／ 自宅での学習を基本に、自分で計画を立てて学ぶ「自学自習」の課程です。,生徒の多様な悩みに対応し、進路や将来を意識させるための相談体制を、スクールカウンセラーやユースソーシャルワーカー等を活用して構築するとともに、学び直し指導を大学生や地域のＮＰＯと連携するなど外部の専門家を教育活動に参加させ「チーム一橋通信制」を確立する。,https://www.metro.ed.jp/hitotsubashi-hc/our_school/feature.html
406030,本所,豊かな人間性の育成 ／ 秩序ある学校生活を送ることを通し、思いやりの心と規範意識を培い、徳性を育てる。 ／ 次代を担う力の育成 ／ 目標達成への努力を通して、探究心を涵養し、創造性を高め、自ら学び自ら考える力を育成する。,本校は“ICT等を利活用した学び”と“人に直接関る学び”で上記の教育目標の達成を目指してまいります。来るべき時代を見据え、AIが活用される社会で生きるために必要な教育を、ICT教育、学校のDX化、学校行事と部活動等の充実で目指します。,https://www.metro.ed.jp/honjo-h/our_school/education.html
406720,本所工科,科学技術教育を通して、常に創意工夫への情熱をもち創造力あふれる人材を育成する。 ／ 人権尊重の精神を養い、思いやりと社会貢献の精神をもった人材を育成する。 ／ グランドデザイン ／ グランドデザイン(186KB),憲法及び教育基本法の精神に基づき、人格の完成をめざし、機械、電気、電子の有能な技術者を育成することを目的として、次の事項の達成につとめる。 自ら学び・考え、主体的に判断できる力を養い、個性豊かで責任感のある人材を育成する。,https://www.metro.ed.jp/honjokoka-he/our_school/education.html
409040,保谷,保健体育科 主幹教諭 髙田 美智子 ／ みなさんこんにちは。 ／ 学校のグランドデザイン ／ 東京都立保谷高等学校グランドデザイン(791KB),学校行事の体育祭、球技大会では、実行委員が中心となり学年という枠を超えての戦いもあり、毎年成功をおさめています。文化祭では、3年生の演劇をはじめ、1．2年生の出し物も近隣の小学生たちでにぎわい、とても好評で毎年楽しみにしてくれています。近隣の小学生が足を運びやすい学校ということです。まさに、安心して、安全に通える保谷高校です。そんな保谷高校で無限の可能性を発見し、無限の力を発揮しましょう。,https://www.metro.ed.jp/hoya-h/our_school/education.html
403220,井草,"責任を重んじて自主的に行動し、勤労を尊ぶ健全な精神を育成する。 ／ 礼儀を正しくし、気品に富む明朗な生き方を学ばせる。 ／ 人権を尊重し、協力して社会の発展に貢献する人材を育成する。 ／ 令和6,7年度入学生教育課程表 (206.2KB)",真理を探究し、問題を自ら解決する態度を培う。　責任を重んじて自主的に行動し、勤労を尊ぶ健全な精神を育成する。　人権を尊重し、協力して社会の発展に貢献する人材を育成する。,https://www.metro.ed.jp/igusa-h/our_school/education.html
404220,板橋,この3年間を未来につなぐ ／ 板橋高等学校 創立100年 さらにその先へ ／ すべての校舎・施設が完成しました! ／ ２０１８年新校舎完成が完成しました。全館LEDで、教室・体育館に冷暖房完備。,大多数の生徒が上級学校への進学を希望する現状を踏まえ、基礎的な学力を身に付け、発展的な問題にも対応できる力を つける様々な指導を行っています。学習計画をたてるために、 全員に年2回の学力テスト、大学進学希望者向けの模試を実 施しています。夏休みには学習合宿(1、2年)、夏期講習(1 ~3年)を実施し、より集中して課題に取り組むことで、高い目標に向かって努力する力を養います。また、今年度は土曜日 の午前中に進学希望者向けの講習を行っています。,https://www.metro.ed.jp/itabashi-h/our_school/feature.html
404520,板橋有徳,品位と教養を高める。 ／ 新しい価値を生みだす自由の精神を養う。 ／ 国際社会で活躍できる知徳体の能力を、バランスよく伸長する。 ／ （1）目指す学校像,規律ある学校生活を通し、「自由と規律」の教育理念を実現するため、以下の目標を掲げる。,https://www.metro.ed.jp/itabashiyutoku-h/our_school/education.html
